route_id,route_short_name,agency_id,route_long_name,route_type
018A,018A,63,Abeka lapaz to Kasoa Station,3
015B,015B,62,Kwabenya to Abeka lapaz,3
383B,383B,17,Ashaiman Station to Accra New Tema Station,3
039B,039B,65,Aunti Eku Pallas Town to Abeka lapaz,3
343A,343A,45,Abeka lapaz to Race Course,3
095A,095A,22,Achimota Station to Israel Station,3
223A,223A,12,Accra CMB to Ablekuma,3
009B,009B,62,Adeiman to Abeka lapaz,3
104B,104B,22,Adusa Quarters to Achimota Station,3
093A,093A,22,Achimota Station to Dome Pillar 2 Station,3
093B,093B,22,Dome Pillar 2 Station to Achimota Station,3
404A,404A,69,Nima Overhead Station to Dome Railway Crossing,3
016B,016B,62,Sarpeiman to Abeka lapaz,3
387B,387B,16,Ashaley Botwe to New Town Station,3
230B,230B,12,Omanjor Station to Accra CMB,3
092B,092B,22,Ashognman Estate to Achimota Station,3
044A,044A,95,Abeka lapaz to Dome,3
044B,044B,95,Dome to Abeka lapaz,3
256A,256A,42,Adjiringanor Station to Accra New Tema Station,3
211A,211A,80,Circle Overhead Station to Tema Main Station,3
116A,116A,19,Achimota to Tema C'mty One,3
384A,384A,17,Accra New Tema Station to Tema Main Station,3
052B,052B,95,Mayera last stop to Abeka lapaz,3
105B,105B,22,Kotoku Terminal to Achimota Station,3
275B,275B,51,Adenta Station to Kaneshie Mkt Cmplx,3
295B,295B,83,New Russia to Kaneshie Mkt Cmplx,3
202B,202B,25,Novotel to Circle,3
287B,287B,79,North Industrial Area to Kaneshie Mkt Cmplx,3
003A,003A,61,37 Lorry Park to Tse Addo,3
240B,240B,37,Nyamekye to Dansoman Laststop,3
